strike,bid,ask,ltp,iv_nse,oi,volume,option_type,price,iv_model,moneyness,bs_price_atm,abs_error,delta,gamma,vega
24000.0,1912.95,1972.65,1980,46.16,947,25,CALL,1942.8000000000002,0.6433679418464929,0.9320786519035764,1770.2625896989994,172.53741030100082,0.9999776792131797,2.1335537319349448e-07,0.28951222321211006
24050.0,1863.2,1933.0,-,-,2,-,CALL,1898.1,0.6380776359675221,0.9340204824283755,1720.308654826873,177.79134517312696,0.9999629975180467,3.443638175684097e-07,0.46728391662122776
24100.0,1805.5,1880.85,-,-,2,-,CALL,1843.175,0.6191599838125433,0.9359623129531747,1670.3557235620501,172.81927643794984,0.9999395419289828,5.47478740293366e-07,0.7429003773903117
24150.0,1805.55,1827.95,1831.5,36.36,5,3,CALL,1816.75,0.6369551546017874,0.9379041434779738,1620.4043794355603,196.34562056443974,0.9999026285498113,8.574182576817583e-07,1.163472296425243
24200.0,1756.8,1771.7,1730.8,-,34,1,CALL,1764.25,0.621073826074614,0.9398459740027729,1570.4555079683814,193.79449203161857,0.9998453979662695,1.3229198177418997e-06,1.7951338737481357
24250.0,1706.05,1728.8,1731.05,34.3,3,7,CALL,1717.425,0.6122149101076166,0.941787804527572,1520.5104318490958,196.9145681509042,0.9997579763658022,2.011078177535312e-06,2.7289292297484073
24300.0,1613.7,1678.25,-,-,3,-,CALL,1645.975,0.5727997824736951,0.9437296350523711,1470.571095780262,175.4039042197378,0.9996263949532452,3.012437421878136e-06,4.087722011595859
24350.0,1570.05,1654.45,-,-,2,-,CALL,1612.25,0.5801798225072263,0.9456714655771702,1420.6403142253766,191.60968577462336,0.999431233402289,4.446716949772823e-06,6.03396526112405
24400.0,1565.65,1574.8,1560.3,-,4,1,CALL,1570.225,0.5768049407361822,0.9476132961019693,1370.7220966984496,199.5029033015503,0.999145963254605,6.468919428813346e-06,8.777989593527943
24450.0,1506.35,1533.9,1534.5,-,2,7,CALL,1520.125,0.5636288415599935,0.9495551266267684,1320.8220658967948,199.3029341032052,0.9987349849638529,9.275406434853616e-06,12.58624752663254
24500.0,1456.15,1472.85,1472,19.48,188,17,CALL,1464.5,0.5439508568208753,0.9514969571515676,1270.9479834616905,193.55201653830954,0.9981513789203713,1.3109344283857392e-05,17.788703193476664
24550.0,1416.1,1421.85,1402.25,-,12,6,CALL,1418.975,0.5360062558162281,0.9534387876763667,1221.1103959970023,197.86460400299757,0.997334426809627,1.8264735394820956e-05,24.784302693609256
24600.0,1363.9,1373.85,1382.7,28.84,41,7,CALL,1368.875,0.5226559871258785,0.9553806182011658,1171.3234097273235,197.55159027267655,0.9962070044724055,2.5088084216531136e-05,34.04323466966731
24650.0,1314.5,1323.7,1323.9,-,11,2,CALL,1319.1,0.5095998419686653,0.957322448725965,1121.6055954545118,197.49440454548812,0.9946729989942961,3.3976632943093046e-05,46.10453626445918
24700.0,1265.65,1274.45,1257.6,20.91,59,52,CALL,1270.0500000000002,0.4972630947209304,0.9592642792507641,1071.9810160539746,198.06898394602558,0.9926149572713562,4.5372076680184465e-05,61.567564926136434
24750.0,1216.8,1223.25,1209.1,-,16,8,CALL,1220.025,0.48374669349767446,0.9612061097755632,1022.4803566662704,197.5446433337297,0.9898922251947366,5.9748765782464226e-05,81.07598958931825
24800.0,1165.5,1172.15,1174.2,-,118,16,CALL,1168.825,0.4688665543240459,0.9631479403003623,973.1421233460678,195.68287665393223,0.9863398786978047,7.759565375529546e-05,105.29329490998587
24850.0,1118.45,1124.7,1108,20.99,324,1248,CALL,1121.575,0.45814332721793977,0.9650897708251615,924.0138599849015,197.56114001509854,0.9817687719979309,9.939166810961648e-05,134.8693607874538
24900.0,1068.25,1075.9,1058,-,77,15,CALL,1072.075,0.4448636934446314,0.9670316013499606,875.1533170033035,196.92168299669652,0.9759670260679226,0.00012557476455778984,170.39847050625653
24950.0,1018.95,1025.15,1027.4,-,6,8,CALL,1022.0500000000001,0.43090916563564846,0.9689734318747596,826.6294901789915,195.42050982100852,0.9687032443416501,0.0001565056423436962,212.37007431291835
25000.0,969.8,972.55,970,-,1233,361,CALL,971.175,0.4159577259734625,0.9709152623995587,778.5234359038295,192.65156409617043,0.9597316679295598,0.0001924278931059562,261.1147134813586
25050.0,916.05,924.65,936.4,-,172,9,CALL,920.3499999999999,0.40094405141651274,0.9728570929243578,730.9287621378426,189.42123786215734,0.9487993679508746,0.00023342714447802611,316.7485802881499
25100.0,870.8,873.75,868.3,17.8,581,96,CALL,872.275,0.38855146600522983,0.974798923449157,683.9516942560731,188.32330574392688,0.9356554215547567,0.00027939244051449874,379.12111324542036
